word,category,definition,source language,etymology,tags,
la,pu,(between the context phrase and the main sentence),multiple possibilities,Esperanto la ‘(definite article)’ (← Romance la ‘(feminine singular definite article)’) or Acadian French -la ‘(proximal & topical suffix)’,,
lanpan,post-pu,"take, seize, catch, receive, get {see jo, alasa}",Greek,"λαμβάνω lamváno ‘take, seize, grasp, receive’",,
lape,pu,"sleeping, resting",Dutch,slapen ‘sleep’,,
laso,pu,"blue, green",Welsh,"glas ‘blue, inexperienced’ ← Proto-Brythonic glas ‘green, blue’",,
lawa,pu,"head, mind; to control, direct, guide, lead, own, plan, regulate, rule",Serbo-Croatian,glava глава ‘head’,,
leko,pre-pu,"stairs, square, block, corner",multiple possibilities,"English Lego (← Danish Lego ← ‘leg godt’ ‘play well’) or Finnish lohko ‘block, section’",,
len,pu,"cloth, clothing, fabric, textile; cover, layer of privacy",Acadian French,linge ‘clothing’,,
lete,pu,"cold, cool; uncooked, raw",Acadian French,frette ‘cold’ ← Old French freit ‘cold’,,
li,pu,(between any subject except mi alone or sina alone and its verb; also to introduce a new verb for the same subject),Esperanto,li ‘he’ ← Latin ille {cf. Tok Pisin i ← English he},,
likujo,post-pu,"collection, assortment, menagerie, arrangement, handful, harvest {see kulupu, alasa}; seven",Acadian French,"recueil ‘collection, ensemble, anthology’",,nimi nanpa
lili,pu,"little, small, short; few; a bit; young",Tok Pisin,"liklik ‘small, little’ ← Ramoaaina liklik",,
linja,pu,"long and flexible thing; cord, hair, rope, thread, yarn | ALT line, connection",Finnish,linja ‘line’ ← Old Swedish linia,pre-pu ALT,
linluwi,post-pu,"network(s), internet(s), interconnection, weave {see len}",Welsh,rhyngrwyd ‘internet’ (← rhwng ‘between’ + rhwyd ‘net’),,
lipu,pu,"flat object; book, document, card, paper, record, website",Finnish,"lippu ‘flag, banner, ticket’",,
loje,pu,"red, reddish",Dutch,"rooie, inflected form of rood ‘red’",,
lokon,post-pu,{a compromise between lukin & oko},toki pona,lukin & oko,,
lon,pu,"located at, present at, real, true, existing | ALT (affirmative response)",Tok Pisin,"long ‘at, in, on, (spacial particle)’ ← English along",pre-pu ALT,
luka,pu,"arm, hand, tactile organ; five | ALT touch/feel physically, interact, press",Serbo-Croatian,"ruka рука ‘hand, arm’",pre-pu ALT,
lukin,pu,"eye {see oko}; look at, see, examine, observe, read, watch; look for, seek; (pv.) try to {see alasa}",Tok Pisin,"lukim ‘see, look at’ ← luk ‘look’ (← English look) + -im
‘(transitive suffix)’ (← English him, ’em)",,
lupa,pu,"door, hole, orifice, window",Lojban,"clupa ‘loop’ (← Mandarin 圈 quān, English loop, Hindi पाश pāś, Arabic أنشوطة‏ ʾanšūṭa)",,
ma,pu,"earth, land; outdoors, world; country, territory; soil",Finnish,"maa ‘earth, land’",,
majuna,pre-pu,"old, aged",Esperanto,maljuna ‘old’ ← mal- ‘(opposite of)’ (← Latin malus ‘bad’) + juna ‘young’ (← German jung & French jeune),,
mama,pu,"parent, ancestor; creator, originator; caretaker, sustainer",Georgian,მამა mama ‘father’,,
mani,pu,"money, cash, savings, wealth; large domesticated animal",English,"money {cf. fee ← Proto-Germanic *fehu ‘livestock’, and pecuniary ← Latin pecū ‘cattle’}",,
meli,pu,"woman, female, feminine person; wife {see mije, tonsi}",Tok Pisin,"meri ‘woman, wife, feminine’ ← Tolai mari ‘pretty’ & 
English Mary",,
melome,post-pu,"sapphic, lesbian, wlw {see kule, meli}",toki pona,meli pi olin meli,,
meso,post-pu," middle, medium, mediocre, neither one",Greek,μέσος mésos ‘middle’,,
mi,pu,"I, me, we, us",Esperanto,"mi ‘I, me’ ← Romance m- ‘(1st person singular oblique)’",,
mije,pu,"man, male, masculine person; husband {see meli, tonsi}",Finnish,"mies ‘man, husband’",,
mijomi,post-pu,"gay, mlm {see kule, mije}",toki pona,mije pi olin mije,,
misikeke,pre-pu,medicine,Ojibwe,"mashkiki ‘medicine, drug’",,
moku,pu,"to eat, drink, consume, swallow, ingest",Japanese,モグモグ mogumogu ‘munching’,,
moli,pu,"dead, dying",Acadian French,mourir ‘die’,,
monsi,pu,"back, behind, rear",Acadian French,mon tchu ‘{vulgar} my ass’,,
monsuta,pre-pu,"fear, monster",Japanese,モンスター monsutā ‘monster’ ← English monster,,
mu,pu,(animal noise or communication) | ALT (non-speech vocalization),onomatopoeia,,,
mulapisu,post-pu,pizza,unknown,,word of Sonja,
mun,pu,"moon, night sky object, star | ALT glow, glowing light, light in the dark {see suno}",English,moon,,
musi,pu,"artistic, entertaining, frivolous, playful, recreation",Esperanto,"amuzi ‘amuse, entertain’ ← French amuser",,
mute,pu,"many, a lot, more, much, several, very; quantity | ALT three (or more), 20",Esperanto,multe ‘a lot’ ← Latin multus,pre-pu ALT,nimi nanpa
n,post-pu,"[interjection] indicating thinking, pondering, or recognition; hum, humming",onomatopoeia,,,
namako,pu,"{see sin} | ALT embellishment, spice; extra, additional",multiple possibilities,Hindi नमक namak ‘salt’ (← Persian نمک namak ‘salt’) or Persian نمک namak ‘salt’,pre-pu ALT,
nanpa,pu,-th (ordinal number); numbers,Tok Pisin,"namba ‘number, (ordinal marker)’ ← English number",,
nasa,pu,"unusual, strange; silly; drunk, intoxicated",Tok Pisin,nasau ‘dim-witted; crazy’,,
nasin,pu,"way, custom, doctrine, method, path, road",Serbo-Croatian,"način начин ‘way, method’",,
neja,post-pu,four,Finnish,neljä ‘four’,,nimi nanpa
nena,pu,"bump, button, hill, mountain, nose, protuberance {see kapa}",Finnish,nenä ‘nose’,,
ni,pu,"that, this {see ona}",Cantonese,"呢 ni¹ ‘this’ (← substrate, cf. Tai, Mon-Khmer, Hmong-Mien, Austronesian) or 哩 le¹ ‘[continuation of a state/action]’",,
nimi,pu,"name, word",Finnish,nimi ‘name’,,
noka,pu,"foot, leg, organ of locomotion; bottom, lower part {see jalan} | ALT ten; twenty; negate five",Serbo-Croatian,"noga нога ‘foot, leg’",,nimi nanpa
o,pu,"hey! O! (vocative, imperative, or optative) {see li}",Georgian,-ო -o ‘(vocative suffix)’,,
oke,post-pu,"(acknowledgement or acceptance) {see ke, n}",English,okay,,
okepuma,post-pu,"boomer, Baby Boomer, inconsiderate elder; [interjection/insult]",English,okay boomer,,
oko,pu,"{see lukin} | ALT eye, ocular, visual {cf. lukin}",Serbo-Croatian,оko око ‘eye’,pre-pu ALT,
olin,pu,"love, have compassion for, respect, show affection to",Serbo-Croatian,volim волим ‘I love’,,
omekapo,post-pu,"goodbye, farewell, see you later, eat a good fish",toki pona,o.m.e.ka.po. ← o moku e kala pona ← coined by jan Maliku in reference to the message jan Sonja wrote on their copy of Toki Pona: The Language of Good during a Texas meetup,,
omen,post-pu,"sarcasm, ironic",toki pona,o.m.e.m. ← o moli e mi {cf. English kill me},,
ona,pu,"he, she, it, they {see iki, ipi}",Serbo-Croatian,ona она ‘she’,,
open,pu,"begin, start; open; turn on",English,open,,
pa,post-pu,"[interjection] bruh; expression of disbelief, exasperation, or excitement",English,bruh,,
pakala,pu,"botched, broken, damaged, harmed, messed up | ALT (curse expletive, e.g. fuck!)",Tok Pisin,bagarap ‘accident’ ← English bugger up,pre-pu ALT,
pake,pre-pu,"stop, cease {see pini}",Acadian French,"barrer ‘to lock, bar up’",,
pali,pu,"do, take action on, work on; build, make, prepare",Esperanto,"fari ‘do, make’",,
palisa,pu,"long hard thing; branch, rod, stick",Serbo-Croatian,"palica палица ‘bat, rod, cane’",,
pan,pu,"cereal, grain; barley, corn, oat, rice, wheat; bread, pasta",multiple,Romance pan ‘bread’ & Japanese パン pan ‘bread’ (← Portuguese pão),,
pana,pu,"give, send, emit, provide, put, release",multiple possibilities,"Finnish panna ‘put, set, place’ or Swahili pana ‘give to each other’",,
pasila,pre-pu,"good, easy {see pona}; simple, relaxed, peaceful, uncomplicated",multiple possibilities,Acadian French facile ‘easy’ or Esperanto facila ‘easy’,,
pata,pre-pu,sibling {see sama},multiple possibilities,Serbo-Croatian brat брат ‘brother’ or Tok Pisin brata ‘sibling or cousin of the same gender’ (← English brother),,
peto,post-pu,"cry, tears; sad(ness)",toki pona,p.e.t.o. ← pana e telo oko,,
pi,pu,of (used to divide a second noun group that describes a first noun group) | ALT (introduces a genitive noun),Tok Pisin,bilong ‘of’ ← English belong,pre-pu ALT,
pilin,pu,"heart (physical or emotional); feeling (an emotion, a direct experience)",Tok Pisin,"pilim ‘feel’ ← pil ‘feel’ (← English feel) + -im ‘(transitive suffix)’ (← English him, ’em)",,
pimeja,pu,"black, dark, unlit",Finnish,pimeä ‘dark’,,
pini,pu,"ago, completed, ended, finished, past {see pake}",multiple,"Acadian French fini ‘finished, completed’ & Tok Pisin pinis ‘(perfective aspect)’← English finish",,
pipi,pu,"bug, insect, ant, spider",Acadian French,bibitte ‘bug’,,
pipo,post-pu,"annoy, annoyance, bothersome, boring",toki pona,pipi {cf. English bug},,
po,pre-pu,four,unknown,?English four,,nimi nanpa
poka,pu,"hip, side; next to, nearby, vicinity | ALT along with (comitative), beside {see kan}",Serbo-Croatian,"boka бока, genitive of bok бок ‘side, flank’",pre-pu ALT,
poki,pu,"container, bag, bowl, box, cup, cupboard, drawer, vessel",Tok Pisin,"bokis ‘box, {vulgar} female genitalia’ ← English box",,
polinpin,post-pu,bowling pin,English,bowling pin,,
pomotolo,post-pu,"effective, useful, give good results",Italian,"pomodoro ‘tomato,’ from the time management method developed by Francesco Cirillo in Berlin in the 1980s, for which people often used tomato-shaped timers",,
pona,pu,"good, positive, useful; friendly, peaceful; simple",Esperanto,bona ‘good’,,
powe,pre-pu,"unreal, false, untrue, pretend, deceive, trickster",Acadian French,pas vrai ‘not true’,,
pu,pu,interacting with the official Toki Pona book,multiple possibilities,"Mandarin 樸 pǔ ‘unworked wood; sincere, honest; inherent quality; simple’ or English book",,
sama,pu,"same, similar; each other; sibling, peer, fellow {see pata}; as, like",multiple,"Finnish sama ‘same’ (← Proto-Germanic *samaz ‘same, alike’) & Esperanto sama ‘same’ (← English same)",,
samu,post-pu,wanting to create new words,toki pona,"jan Samu, a Facebook user who attempted to propose a new word",word of Sonja,
san,post-pu,three {particularly in senary base; see tuli},Japanese,三 san ‘three’,,nimi nanpa
seli,pu,"fire; cooking element, chemical reaction, heat source",Georgian,ცხელი cxeli ‘hot’,,
selo,pu,"outer form, outer layer; bark, peel, shell, skin; boundary",Esperanto,"ŝelo ‘skin, peel’ ← German Schale ‘peel, husk, shell’",,
seme,pu,what? which?,Mandarin,"什麼 shénme ‘what, something’",,
sewi,pu,"area above, highest part, something elevated; awe-inspiring, divine, sacred, supernatural",Georgian,ზევით zevit ‘upwards’,,
sijelo,pu,"body (of person or animal), physical state, torso",Serbo-Croatian,tijelo тијело ‘body’,,
sike,pu,"round or circular thing; ball, circle, cycle, sphere, wheel; of one year",English,circle,,
sikomo,post-pu,"on a higher tier/plane, enlighten(ed), epic; to an exceedingly great extent",English,sicko mode (← Travis Scott song ‘Sicko Mode’),,
sin,pu,"new, fresh; additional, another, extra {see namako}",Mandarin,"新 xīn ‘new, fresh’",,
sina,pu,you,Finnish,sinä ‘you’,,
sinpin,pu,"face, foremost, front, wall",Cantonese,前邊 tsin bin ‘in front’,,
sitelen,pu,"image, picture, representation, symbol, mark, writing",Dutch,schilderen ‘paint’,,
soko,post-pu,"fungus, fungi",Georgian,სოკო sok’o ‘mushroom’,,
sona,pu,"know, be skilled in, be wise about, have information on; (pv.) know how to",Georgian,ცოდნა codna ‘knowledge’,,
soto,post-pu,"left, left side, portside",Swahili,shoto ‘left side’,,
soweli,pu,"animal, beast, land mammal",Georgian,"ცხოველი cxoveli ‘beastly animal, lively, passionate’",,
su,post-pu,"[yes/no question marker, taking the place of li & o] {see ala}",Esperanto,ĉu ‘[yes/no question marker]; whether’,,
suli,pu,"big, heavy, large, long, tall; important; adult",Finnish,"suuri ‘big, large, great’",,
suno,pu,"sun; light, brightness, glow {see mun}, radiance, shine; light source",Esperanto,suno ‘sun’,,
supa,pu,"horizontal surface, thing to put or rest something on",Esperanto,surfaco ‘surface’ ← Acadian French & English surface,,
sutopatikuna,pre-pu,platypus,Croatian,"čudnovati kljunaš ‘platypus, lit. strange beak’ (proposed by Alexandre Baudry)",,
suwi,pu,"sweet, fragrant; cute, innocent, adorable",Tok Pisin,suwi ← English sweet,,
tan,pu,"by, from, because of; origin, cause",Cantonese,從 tsung ‘from’,,
taso,pu,"but, however; only",Tok Pisin,"tasol ‘just, only, but, however’ ← English that’s all",,
tawa,pu,"going to, toward; for; from the perspective of; moving | ALT (pv.) going to",English,toward(s),,
te,post-pu,(introduces a quote) {see to},Japanese,って tte ‘quotative’,,
teje,post-pu,"right, right side, starboard",Welsh,de (/deː/) ‘right’,,
telo,pu,"water, liquid, fluid, wet substance; beverages",Acadian French,de l’eau ‘(some) water’,,
ten,post-pu,{shortened variant of tenpo},toki pona,tenpo,,
tenpo,pu,"time, duration, moment, occasion, period, situation {see waleja}",Esperanto,tempo ‘time’ ← Latin tempus,,
to,post-pu,(particle closing a quote) {see te},Japanese,と to ‘quotative’,,
tokana,post-pu,"focus, attention, concentrate, resolution, fineness; focus on",Tongan,"tokanga ‘attention, focus’",,
toki,pu,"communicate, say, speak, talk, use language, think; hello",Tok Pisin,tok ← English talk,,
tomo,pu,"indoor space; building, home, house, room",Esperanto,"domo ‘house’ ← Polish dom, Latin domus, Ancient Greek δόμος
",,
tonsi,post-pu,"non-binary, gender-non-conforming {see meli, mije, kule} | ALT trans, non-cisgender",Mandarin,同志 tóngzhì ‘comrade (same will/purpose); LGBT+’,,
tu,pu,"two | ALT separate, cut {see kipisi}",multiple,English two & Esperanto du,,nimi nanpa
tuli,pre-pu,three {see san},English,three,,nimi nanpa
unpa,pu,have sexual or marital relations with,onomatopoeia,,,
uta,pu,"mouth, lips, oral cavity, jaw",Serbo-Croatian,usta уста ‘mouth’,,
utala,pu,"battle, challenge, compete against, struggle against",Serbo-Croatian,"udarati ударати ‘strike, hit, beat’",,
wa,post-pu,[interjection] indicating awe or amazement,onomatopoeia,,,
waleja,post-pu,"context, topic, salience, pertinent, topical, pertain to, be relevant {see tenpo}",Quenya,"valdea ‘of moment, important’ ← valda ‘worth, worthy, dear’",,
walo,pu,"white, whitish; light-coloured, pale",Finnish,valko- ‘white’,,
wan,pu,"unique, united; one",English,one,,nimi nanpa
waso,pu,"bird, flying creature, winged animal",Acadian French,oiseau ‘bird’,,
wawa,pu,"strong, powerful; confident, sure; energetic, intense",Finnish,"vahva ‘strong, powerful, thick’",,
wawajete,post-pu,"something that appears to break the rules but doesn't; faux edginess, provocation",toki pona,"wuwojiti (all phonotactically unviable CV syllables in 
toki pona)",,
we,post-pu,(acts as a transition from one complete sentence to another),Spanish,güey ‘man’ {cf. English man (sentence tag)},,
weka,pu,"absent, away, ignored",Dutch,"weg ‘away, gone’",,
wekama,post-pu,"leave and come back, be temporarily absent with the expectation of returning",toki pona,weka kama,,
wile,pu,"must, need, require, should, want, wish",Dutch,"willen ‘want, desire’",,
yupekosi,post-pu,to behave like George Lucas and revise your old creative works and actually make them worse; “nobody knows how to pronounce the y”,unknown,,word of Sonja,
